customer_id,resp,card_tenure,risk_score,num_promoted,avg_bal,geo_group,res_type
3468,0,135.0,737,0,3598.0,0,4
23287,0,533.0,659,0,931.0,1,1
21136,0,123.0,640,0,3785.0,2,0
2514,0,131.0,719,0,1344.0,0,1
17629,0,179.0,699,0,2987.0,0,1
14206,0,119.0,720,0,3649.0,1,1
24612,0,60.0,726,0,2758.0,4,4
20408,1,111.0,704,0,3892.0,1,1
5345,0,171.0,520,0,295.0,0,5
903,0,163.0,687,0,2721.0,0,1
10790,1,135.0,677,0,3668.0,0,1
11175,0,186.0,712,0,3365.0,0,1
19973,0,198.0,752,0,2923.0,0,4
16116,0,163.0,520,0,3832.0,0,5
16741,0,139.0,617,0,4029.0,0,0
20204,0,131.0,695,0,1506.0,0,1
20437,0,190.0,679,0,2489.0,0,1
13687,0,218.0,520,0,1494.0,3,5
22219,0,123.0,733,0,2189.0,0,4
13939,0,569.0,739,0,-132.0,1,4
12395,0,107.0,750,0,3240.0,1,4
8638,0,242.0,691,0,4095.0,3,2
20895,0,171.0,629,0,3538.0,0,0
14163,0,115.0,699,0,2664.0,1,1
6165,1,182.0,650,0,3799.0,0,0
7952,0,123.0,584,0,2967.0,0,3
10393,0,198.0,720,0,3932.0,0,1
13921,1,119.0,520,0,1295.0,1,5
24956,1,115.0,727,0,3512.0,1,4
6660,0,135.0,698,0,3120.0,0,1
9814,0,155.0,760,0,3262.0,0,4
3017,1,16.0,757,0,3941.0,4,4
23522,0,135.0,667,0,3764.0,0,1
6585,0,246.0,760,0,837.0,3,4
8272,0,151.0,612,0,3183.0,0,3
1276,0,175.0,520,0,3706.0,0,5
23334,0,230.0,653,0,3301.0,3,1
3371,0,131.0,520,0,2587.0,0,5
20743,0,67.0,704,0,3268.0,4,1
17763,0,115.0,679,0,2206.0,1,1
3670,0,83.0,553,0,3287.0,1,5
11484,0,139.0,520,0,775.0,0,5
11026,1,48.0,697,0,3613.0,4,1
3779,1,246.0,681,0,3002.0,3,1
21372,0,151.0,694,0,3746.0,0,1
16266,0,103.0,641,1,3056.0,1,0
4116,0,95.0,712,0,3321.0,1,1
21250,0,147.0,727,0,3478.0,0,4
10001,0,87.0,637,0,3188.0,1,0
3585,0,115.0,738,0,1639.0,1,4
14063,0,67.0,520,0,3101.0,4,5
21701,0,159.0,728,0,2952.0,0,4
12514,0,155.0,713,0,3728.0,0,1
11354,1,79.0,520,0,3587.0,1,5
16552,0,79.0,662,0,2577.0,1,1
7878,0,103.0,645,0,3233.0,1,0
19972,0,127.0,655,0,3321.0,2,1
18276,0,63.0,760,0,3803.0,4,4
4702,0,52.0,712,0,3870.0,4,1
13189,0,246.0,759,0,3557.0,3,4
8378,0,103.0,737,1,2542.0,1,4
4940,0,123.0,520,0,2133.0,0,5
15726,0,175.0,742,0,3888.0,0,4
23347,0,151.0,719,0,3250.0,0,1
8691,0,135.0,670,0,3569.0,0,1
13283,1,28.0,618,0,3826.0,4,0
19115,0,179.0,634,0,3746.0,0,2
21628,0,83.0,641,0,3321.0,1,0
22590,0,190.0,720,0,3481.0,0,1
10762,0,135.0,609,0,3711.0,0,3
20033,0,139.0,675,0,3484.0,0,1
5378,0,83.0,714,0,3436.0,1,1
24964,0,99.0,718,0,1285.0,1,1
12223,0,246.0,714,0,3179.0,3,1
3026,0,143.0,637,0,3534.0,0,0
12715,0,210.0,520,0,3981.0,3,5
7446,0,83.0,738,0,3410.0,1,4
11566,0,99.0,756,0,3566.0,1,4
5082,0,246.0,666,0,3233.0,3,1
24501,0,111.0,739,1,1976.0,2,4
23029,0,103.0,759,0,2451.0,1,4
1267,0,175.0,622,0,2598.0,0,0
1726,0,214.0,747,0,3557.0,3,4
16078,0,159.0,520,0,4069.0,0,5
24367,0,135.0,520,0,2149.0,0,5
24724,0,71.0,547,0,4083.0,4,5
2569,0,75.0,615,0,3144.0,1,3
22049,0,52.0,760,0,2464.0,4,2
8712,0,127.0,622,0,3620.0,0,0
1391,1,131.0,680,0,975.0,0,1
9595,0,127.0,520,0,3455.0,0,5
21311,0,83.0,664,0,1661.0,1,1
